id,first_name,last_name,birth_date,website,bio
11,Aldous,Huxley,1894-07-26,http://huxleyonhuxley.com/about/aldous-huxley/,"Aldous Leonard Huxley was an English writer and one of the most prominent members of the famous Huxley family. He spent the latter part of his life in the United States, living in Los Angeles from 1937 until his death in 1963. Best known for his novels and wide-ranging output of essays, he also published short stories, poetry, travel writing, and film stories and scripts. Through his novels and essays Huxley functioned as an examiner and sometimes critic of social mores, norms and ideals. Huxley was a humanist but was also interested towards the end of his life in spiritual subjects such as parapsychology and philosophical mysticism. By the end of his life, he was widely acknowledged as one of the pre-eminent intellectuals of his time."
12,Lois,Lowry,1937-03-20,http://www.loislowry.com/,"I’ve always felt that I was fortunate to have been born the middle child of three. My older sister, Helen, was very much like our mother: gentle, family-oriented, eager to please. Little brother Jon was the only boy and had interests that he shared with Dad; together they were always working on electric trains and erector sets; and later, when Jon was older, they always seemed to have their heads under the raised hood of a car. That left me in-between, and exactly where I wanted most to be: on my own. I was a solitary child who lived in the world of books and my own vivid imagination."
13,Douglas,Adams,1952-03-11,http://www.douglasadams.com/,"Douglas Noël Adams was an English author, comic radio dramatist, and musician. He is best known as the author of the Hitchhiker''s Guide to the Galaxy series. Hitchhiker''s began on radio, and developed into a trilogy of five books (which sold more than fifteen million copies during his lifetime) as well as a television series, a comic book series, a computer game, and a feature film that was completed after Adams'' death. The series has also been adapted for live theatre using various scripts; the earliest such productions used material newly written by Adams. He was known to some fans as Bop Ad (after his illegible signature), or by his initials DNA."
14,Ernest ,Hemingway,1899-07-21,,"Ernest Miller Hemingway was an American author and journalist. His economical and understated style had a strong influence on 20th-century fiction, while his life of adventure and his public image influenced later generations. Hemingway produced most of his work between the mid-1920s and the mid-1950s, and won the Nobel Prize in Literature in 1954. He published seven novels, six short story collections and two non-fiction works. Three novels, four collections of short stories and three non-fiction works were published posthumously. Many of these are considered classics of American literature."
15,Shel,Silverstein,1930-09-25,http://www.shelsilverstein.com/indexSite.html,"Shel Silverstein was the author-artist of many beloved books of prose and poetry. He was a cartoonist, playwright, poet, performer, recording artist, and Grammy-winning, Oscar-nominated songwriter."
16,Paulo,Coelho,1947-08-24,http://www.paulocoelhoblog.com,"The Brazilian author PAULO COELHO was born in 1947 in the city of Rio de Janeiro. Before dedicating his life completely to literature, he worked as theatre director and actor, lyricist and journalist. In 1986, PAULO COELHO did the pilgrimage to Saint James of Compostella, an experience later to be documented in his book The Pilgrimage. In the following year, COELHO published The Alchemist. Slow initial sales convinced his first publisher to drop the novel, but it went on to become one of the best selling Brazilian books of all time. Other titles include Brida (1990), The Valkyries (1992), By the river Piedra I sat Down and Wept (1994), the collection of his best columns published in the Brazilian newspaper Folha de São Paulo entitle Maktub (1994), the compilation of texts Phrases (1995), The Fifth Mountain (1996), Manual of a Warrior of Light (1997), Veronika decides to die (1998), The Devil and Miss Prym (2000), the compilation of traditional tales in Stories for parents, children and grandchildren (2001), Eleven Minutes (2003), The Zahir (2005), The Witch of Portobello (2006) and Winner Stands Alone (to be released in 2009). "
17,Franz,Kafka,1883-07-03,,"Franz Kafka was one of the major fiction writers of the 20th century. He was born to a middle-class German-speaking Jewish family in Prague, Bohemia (presently the Czech Republic), Austria–Hungary. His unique body of writing—much of which is incomplete and which was mainly published posthumously—is considered to be among the most influential in Western literature."
18,James,Joyce,1882-02-02,http://www.jamesjoyce.ie/,"James Joyce, Irish novelist, noted for his experimental use of language in such works as Ulysses (1922) and Finnegans Wake (1939). Joyce''s technical innovations in the art of the novel include an extensive use of interior monologue; he used a complex network of symbolic parallels drawn from the mythology, history, and literature, and created a unique language of invented words, puns, and allusions. "
19,Ralph,Ellison,1913-03-01,,"Ralph Ellison was a scholar and writer. He was born Ralph Waldo Ellison in Oklahoma City, Oklahoma, named by his father after Ralph Waldo Emerson. Ellison was best known for his novel Invisible Man, which won the National Book Award in 1953. He also wrote Shadow and Act (1964), a collection of political, social and critical essays, and Going to the Territory (1986). For The New York Times , the best of these essays in addition to the novel put him among the gods of America''s literary Parnassus. A posthumous novel, Juneteenth, was published after being assembled from voluminous notes he left after his death."
20,George,Martin,1948-09-20,http://www.georgerrmartin.com/,"George Raymond Richard R.R. Martin was born September 20, 1948, in Bayonne, New Jersey. His father was Raymond Collins Martin, a longshoreman, and his mother was Margaret Brady Martin. He has two sisters, Darleen Martin Lapinski and Janet Martin Patten. "
